duration,evidence,exit_code,timestamp,cpufreq_before,cpufreq_after,perf:task-clock,perf:context-switches,perf:cpu-migrations,perf:page-faults,perf:cycles,perf:instructions,perf:branches,perf:branch-misses,perf:L1-dcache-loads,perf:L1-dcache-load-misses,perf:LLC-loads,perf:LLC-load-misses
314071407,49954166378,0,1783346306201365743,2500000,2500000,376.840592,0.000000,0.000000,3224.000000,939888883.000000,348670499.000000,87437750.000000,11762366.000000,107026971.000000,28363874.000000,14633545.000000,239784.000000
315203214,49954166378,0,1783346307572840661,2500000,2500000,378.047469,0.000000,0.000000,3224.000000,942900192.000000,348670917.000000,87437954.000000,11776176.000000,107027104.000000,28398571.000000,14745720.000000,253952.000000
314855679,49954166378,0,1783346308979352091,2500000,2500000,377.713954,0.000000,0.000000,3224.000000,942067466.000000,348669727.000000,87437625.000000,11776300.000000,107026748.000000,28325312.000000,14731318.000000,249703.000000
314918726,49954166378,0,1783346310370336230,2500000,2500000,377.675330,0.000000,0.000000,3224.000000,941970155.000000,348669357.000000,87437537.000000,11788263.000000,107026658.000000,28378510.000000,14685659.000000,247132.000000
315021983,49954166378,0,1783346311793307517,2500000,2500000,377.907380,0.000000,0.000000,3224.000000,942550978.000000,348669392.000000,87437535.000000,11769551.000000,107026649.000000,28375743.000000,14784667.000000,245118.000000
313709974,49954166378,0,1783346313184529677,2500000,2500000,376.483865,0.000000,0.000000,3224.000000,938998594.000000,348670829.000000,87437843.000000,11732206.000000,107027066.000000,28402528.000000,14540154.000000,243769.000000
317460047,49954166378,0,1783346314570328528,2500000,2500000,380.595217,0.000000,0.000000,3224.000000,949252856.000000,348669204.000000,87437509.000000,11769168.000000,107026617.000000,28419795.000000,15145773.000000,251731.000000
313504845,49954166378,0,1783346315969727077,2500000,2500000,376.178964,0.000000,0.000000,3224.000000,938239528.000000,348669672.000000,87437603.000000,11716887.000000,107026719.000000,28387745.000000,14624363.000000,238330.000000
315103223,49954166378,0,1783346317400952133,2500000,2500000,377.931675,0.000000,0.000000,3224.000000,942610853.000000,348669241.000000,87437535.000000,11795975.000000,107026608.000000,28352305.000000,14767941.000000,243419.000000
313013695,49954166378,0,1783346318837516622,2500000,2500000,375.691770,0.000000,0.000000,3224.000000,937023037.000000,348669607.000000,87437576.000000,11716057.000000,107026728.000000,28372647.000000,14498214.000000,244124.000000
315073026,49954166378,0,1783346320275404695,2500000,2500000,377.897431,0.000000,0.000000,3224.000000,942526122.000000,348669509.000000,87437560.000000,11750472.000000,107026697.000000,28402444.000000,14791461.000000,252335.000000
314621230,49954166378,0,1783346321709416763,2500000,2500000,377.345948,0.000000,0.000000,3224.000000,941149308.000000,348670526.000000,87437703.000000,11755062.000000,107026902.000000,28403711.000000,14610616.000000,250126.000000
315951052,49954166378,0,1783346323156102308,2500000,2500000,378.918477,0.000000,0.000000,3224.000000,945071611.000000,348670166.000000,87437689.000000,11723829.000000,107026881.000000,28397871.000000,15042605.000000,241250.000000
315023786,49954166378,0,1783346324608981653,2500000,2500000,377.851647,0.000000,0.000000,3224.000000,942410219.000000,348670433.000000,87437739.000000,11786906.000000,107026928.000000,28362628.000000,14767543.000000,241538.000000
315623499,49954166378,0,1783346326047738805,2500000,2500000,378.496451,0.000000,0.000000,3224.000000,944019551.000000,348670893.000000,87437775.000000,11720018.000000,107027005.000000,28396151.000000,14884306.000000,256011.000000
