cpufreq_before,duration,evidence,cpufreq_after,perf:task-clock,perf:context-switches,perf:cpu-migrations,perf:page-faults,perf:cycles,perf:instructions,perf:branches,perf:branch-misses,perf:L1-dcache-loads,perf:L1-dcache-load-misses,perf:LLC-loads,perf:LLC-load-misses,timestamp,exit_code
2500000,312027913,49954166378,2500000,374.457317,0.000000,0.000000,3224.000000,933946177.000000,348675976.000000,87438829.000000,11745697.000000,107028594.000000,28336694.000000,14751843.000000,167615.000000,1783455870245360046,0
2500000,314456212,49954166378,2500000,377.281240,0.000000,0.000000,3224.000000,940989133.000000,348675360.000000,87438730.000000,11727710.000000,107028457.000000,28400127.000000,15386412.000000,152126.000000,1783455870665809648,0
2500000,311715622,49954166378,2500000,374.286252,0.000000,0.000000,3224.000000,933519454.000000,348674901.000000,87438679.000000,11744295.000000,107028332.000000,28334520.000000,14795853.000000,157479.000000,1783455871090584498,0
2500000,311074018,49954166378,2500000,373.330952,0.000000,0.000000,3224.000000,931136855.000000,348678358.000000,87439339.000000,11805715.000000,107029272.000000,28328757.000000,14577370.000000,154334.000000,1783455871510598393,0
2500000,311099157,49954166378,2500000,373.488221,0.000000,0.000000,3224.000000,931529105.000000,348679961.000000,87439452.000000,11760300.000000,107029557.000000,28300956.000000,14615365.000000,164417.000000,1783455871930788496,0
2500000,311775318,49954166378,2500000,374.175307,0.000000,0.000000,3224.000000,933242382.000000,348674793.000000,87438618.000000,11744222.000000,107028267.000000,28360313.000000,14820977.000000,156059.000000,1783455872349909049,0
2500000,311441833,49954166378,2500000,373.851776,0.000000,0.000000,3224.000000,932435667.000000,348859426.000000,87476044.000000,11758189.000000,107068243.000000,28358177.000000,14661433.000000,165213.000000,1783455872770075385,0
2500000,312050201,49954166378,2500000,374.574643,0.000000,0.000000,3224.000000,934238187.000000,348679000.000000,87438911.000000,11724118.000000,107029105.000000,28370950.000000,14907521.000000,155795.000000,1783455873190368614,0
2500000,311189492,49954166378,2500000,373.593163,0.000000,0.000000,3224.000000,931790682.000000,348674591.000000,87438592.000000,11755246.000000,107028188.000000,28348247.000000,14624381.000000,161967.000000,1783455873611704949,0
2500000,314191978,49954166378,2500000,376.911101,0.000000,0.000000,3224.000000,940064648.000000,348680029.000000,87439478.000000,11769879.000000,107029560.000000,28387184.000000,15209390.000000,159381.000000,1783455874030169472,0
2500000,311167029,49954166378,2500000,373.517908,0.000000,0.000000,3224.000000,931600918.000000,348676360.000000,87438968.000000,11769261.000000,107028716.000000,28355085.000000,14615804.000000,160063.000000,1783455874452492925,0
2500000,311826021,49954166378,2500000,374.249174,0.000000,0.000000,3224.000000,933424953.000000,348674628.000000,87438603.000000,11743531.000000,107028296.000000,28353741.000000,14821957.000000,157715.000000,1783455874873835571,0
2500000,310992943,49954166378,2500000,373.395180,0.000000,0.000000,3224.000000,931294865.000000,348675850.000000,87438836.000000,11757661.000000,107028608.000000,28346191.000000,14617151.000000,163204.000000,1783455875294217056,0
2500000,310957698,49954166378,2500000,373.333390,0.000000,0.000000,3224.000000,931142103.000000,348676040.000000,87438921.000000,11800446.000000,107028702.000000,28333872.000000,14587429.000000,155822.000000,1783455875715275641,0
2500000,313017514,49954166378,2500000,375.632335,0.000000,0.000000,3224.000000,936876622.000000,348675058.000000,87438691.000000,11729936.000000,107028361.000000,28384938.000000,15040079.000000,160170.000000,1783455876137200262,0
2500000,311625550,49954166378,2500000,374.030418,0.000000,0.000000,3224.000000,932881022.000000,348675841.000000,87438804.000000,11737795.000000,107028599.000000,28364270.000000,14732664.000000,168519.000000,1783455876557886634,0
2500000,309808111,49954166378,2500000,371.957555,0.000000,0.000000,3224.000000,927708685.000000,348673688.000000,87438483.000000,11727347.000000,107028066.000000,28343881.000000,14376052.000000,169814.000000,1783455876979338269,0
2500000,315382862,49954166378,2500000,378.174003,0.000000,0.000000,3224.000000,943215875.000000,348676958.000000,87438975.000000,11757812.000000,107028868.000000,28389359.000000,15311693.000000,172127.000000,1783455877396787614,0
2500000,311633410,49954166378,2500000,374.105123,0.000000,0.000000,3224.000000,933067374.000000,348673638.000000,87438499.000000,11767830.000000,107028044.000000,28325039.000000,14712804.000000,163126.000000,1783455877822894719,0
2500000,311810902,49954166378,2500000,374.276661,0.000000,0.000000,3224.000000,933495068.000000,348675804.000000,87438837.000000,11756860.000000,107028598.000000,28298189.000000,14826766.000000,155122.000000,1783455878242914692,0
2500000,310340092,49954166378,2500000,372.645525,0.000000,0.000000,3224.000000,929427838.000000,348675829.000000,87438773.000000,11774715.000000,107028537.000000,28333488.000000,14470707.000000,157618.000000,1783455878664344399,0
2500000,311742855,49954166378,2500000,374.242062,0.000000,0.000000,3224.000000,933408388.000000,348675061.000000,87438749.000000,11783192.000000,107028421.000000,28294145.000000,14804139.000000,152391.000000,1783455879086362996,0
2500000,310091973,49954166378,2500000,372.402834,0.000000,0.000000,3224.000000,928820556.000000,348675635.000000,87438762.000000,11761687.000000,107028500.000000,28281966.000000,14455324.000000,159728.000000,1783455879506769311,0
2500000,310035207,49954166378,2500000,372.176268,0.000000,0.000000,3224.000000,928254303.000000,348673460.000000,87438436.000000,11773025.000000,107027975.000000,28319007.000000,14438868.000000,157059.000000,1783455879924957458,0
2500000,311792413,49954166378,2500000,374.204025,0.000000,0.000000,3224.000000,933312747.000000,348676375.000000,87439003.000000,11779215.000000,107028752.000000,28333065.000000,14643205.000000,170443.000000,1783455880343056709,0
2500000,312125484,49954166378,2500000,374.636088,0.000000,0.000000,3224.000000,934390644.000000,348675366.000000,87438689.000000,11774293.000000,107028447.000000,28338685.000000,14817215.000000,163787.000000,1783455880763009509,0
2500000,310802377,49954166378,2500000,373.183575,0.000000,0.000000,3224.000000,930768474.000000,348674184.000000,87438588.000000,11764838.000000,107028192.000000,28340446.000000,14568834.000000,160897.000000,1783455881183228895,0
2500000,310699213,49954166378,2500000,373.241001,0.000000,0.000000,3224.000000,930912967.000000,348676267.000000,87438918.000000,11720837.000000,107028679.000000,28360028.000000,14723538.000000,151123.000000,1783455881602782592,0
2500000,311604650,49954166378,2500000,374.119052,0.000000,0.000000,3224.000000,933100362.000000,348676463.000000,87438927.000000,11766909.000000,107028740.000000,28351142.000000,14642293.000000,170997.000000,1783455882025092303,0
2500000,310617932,49954166378,2500000,373.029176,0.000000,0.000000,3224.000000,930383263.000000,348674711.000000,87438571.000000,11725956.000000,107028256.000000,28304838.000000,14735842.000000,149941.000000,1783455882444309878,0
2500000,304823523,49954166378,2500000,366.425362,1.000000,0.000000,3225.000000,913887233.000000,348692360.000000,87442386.000000,11776123.000000,107033187.000000,29744807.000000,14646072.000000,122411.000000,1783455882865031363,0
2500000,311243498,49954166378,2500000,373.657251,0.000000,0.000000,3224.000000,931950319.000000,348675194.000000,87438742.000000,11725988.000000,107028381.000000,28302226.000000,14739766.000000,162335.000000,1783455883280477738,0
2500000,312230032,49954166378,2500000,374.604615,0.000000,0.000000,3224.000000,934314064.000000,348675696.000000,87438834.000000,11797609.000000,107028448.000000,28337184.000000,14696768.000000,171705.000000,1783455883699278034,0
2500000,311373718,49954166378,2500000,373.711659,0.000000,0.000000,3224.000000,932086932.000000,348677867.000000,87439211.000000,11770661.000000,107028978.000000,28348878.000000,14698241.000000,157454.000000,1783455884124373281,0
