cpufreq_before,duration,evidence,cpufreq_after,perf:task-clock,perf:context-switches,perf:cpu-migrations,perf:page-faults,perf:cycles,perf:instructions,perf:branches,perf:branch-misses,perf:L1-dcache-loads,perf:L1-dcache-load-misses,perf:LLC-loads,perf:LLC-load-misses,timestamp,exit_code
2500000,313503129,49954166378,2500000,376.167051,0.000000,0.000000,3224.000000,938200506.000000,348674064.000000,87438391.000000,11719603.000000,107027894.000000,28339697.000000,14693664.000000,234503.000000,1783454535656651427,0
2500000,316675220,49954166378,2500000,379.603783,0.000000,0.000000,3224.000000,946771991.000000,348671155.000000,87437818.000000,11747358.000000,107027108.000000,28410098.000000,14776242.000000,271313.000000,1783454536086036751,0
2500000,314812300,49954166378,2500000,377.620310,0.000000,0.000000,3224.000000,941825998.000000,348670218.000000,87437646.000000,11755408.000000,107026817.000000,28393350.000000,14710357.000000,237309.000000,1783454536516313375,0
2500000,317235233,49954166378,2500000,380.366614,0.000000,0.000000,3224.000000,948675562.000000,348673256.000000,87438238.000000,11749178.000000,107027690.000000,28395175.000000,15039065.000000,267435.000000,1783454536947604903,0
2500000,313805645,49954166378,2500000,376.411592,0.000000,0.000000,3224.000000,938810852.000000,348669329.000000,87437497.000000,11756607.000000,107026617.000000,28372152.000000,14538252.000000,245538.000000,1783454537377863436,0
2500000,315432182,49954166378,2500000,378.291536,0.000000,0.000000,3224.000000,943500732.000000,348669814.000000,87437603.000000,11735763.000000,107026753.000000,28407421.000000,14672553.000000,265996.000000,1783454537803743294,0
2500000,315267333,49954166378,2500000,378.088892,0.000000,0.000000,3224.000000,942993195.000000,348670293.000000,87437751.000000,11740907.000000,107026950.000000,28320730.000000,14873578.000000,240658.000000,1783454538230600640,0
2500000,315058186,49954166378,2500000,377.832069,0.000000,0.000000,3224.000000,942352616.000000,348671246.000000,87437893.000000,11744796.000000,107027149.000000,28388222.000000,14626323.000000,270416.000000,1783454538658814380,0
2500000,312343605,49954166378,2500000,374.849960,0.000000,0.000000,3224.000000,934915660.000000,348669642.000000,87437546.000000,11720609.000000,107026703.000000,28367876.000000,14399522.000000,239796.000000,1783454539087078805,0
2500000,314322415,49954166378,2500000,377.036607,0.000000,0.000000,3224.000000,940369897.000000,348672930.000000,87438335.000000,11754948.000000,107027640.000000,28371764.000000,14521111.000000,264583.000000,1783454539513278023,0
