duration,evidence,exit_code,timestamp,cpufreq_before,cpufreq_after,perf:cycles,perf:context-switches,perf:cpu-migrations,perf:page-faults,perf:cache-misses,perf:l2_rqsts.all_demand_miss,perf:L1-dcache-misses
312584743,49954166378,0,1783119614625130277,2500000,2500000,935406677.000000,5.000000,0.000000,3224.000000,1327334.000000,15056175.000000,28373116.000000
316302300,49954166378,0,1783119615822168322,2500000,2500001,944715351.000000,2.000000,0.000000,3224.000000,1688174.000000,15105175.000000,28412454.000000
314532673,49954166378,0,1783119617063933782,2500000,2500000,940601179.000000,1.000000,0.000000,3224.000000,1331089.000000,15377218.000000,28387636.000000
314536702,49954166378,0,1783119618286966595,2500000,2499998,940562620.000000,3.000000,0.000000,3224.000000,1380434.000000,15301011.000000,28395997.000000
312908590,49954166378,0,1783119619477611585,2500000,2500001,936336128.000000,2.000000,0.000000,3224.000000,1322995.000000,15094150.000000,28383514.000000
314329639,49954166378,0,1783119620646087234,2500000,2500004,940059715.000000,2.000000,0.000000,3224.000000,1356817.000000,15291071.000000,28377264.000000
311595317,49954166378,0,1783119621718438892,2500000,2499998,932453992.000000,1.000000,0.000000,3224.000000,1337749.000000,14881917.000000,28355064.000000
312888633,49954166378,0,1783119622756169398,2500000,2499997,935868123.000000,4.000000,0.000000,3224.000000,1348860.000000,15096702.000000,28321039.000000
314397001,49954166378,0,1783119623789822164,2500000,2500005,940342493.000000,2.000000,0.000000,3224.000000,1341253.000000,15334502.000000,28380912.000000
315116032,49954166378,0,1783119624968186176,2500000,2500010,942477149.000000,2.000000,0.000000,3224.000000,1357464.000000,15465868.000000,28409911.000000
312882806,49954166378,0,1783119626181153677,2500000,2500005,936115669.000000,3.000000,0.000000,3224.000000,1340562.000000,15080600.000000,28362896.000000
314656727,49954166378,0,1783119627387711715,2500000,2499997,940665882.000000,2.000000,0.000000,3224.000000,1368187.000000,15307625.000000,28399457.000000
316425721,49954166378,0,1783119628601407771,2500000,2500004,946023559.000000,1.000000,0.000000,3224.000000,1360555.000000,15679897.000000,28420414.000000
313153840,49954166378,0,1783119629827132569,2500000,2499999,936412625.000000,1.000000,0.000000,3224.000000,1358562.000000,15069486.000000,28361485.000000
314618654,49954166378,0,1783119631055497233,2500000,2500000,940633652.000000,2.000000,0.000000,3224.000000,1371953.000000,15313559.000000,28395771.000000
311395184,49954166378,0,1783119632266541406,2500000,2499998,931761910.000000,4.000000,0.000000,3224.000000,1346110.000000,14816875.000000,28360872.000000
311691195,49954166378,0,1783119633485316869,2500000,2500001,932817491.000000,2.000000,0.000000,3224.000000,1330910.000000,14887932.000000,28355627.000000
311904098,49954166378,0,1783119634689234994,2500000,2500000,933162859.000000,2.000000,0.000000,3224.000000,1365608.000000,14860108.000000,28371395.000000
313179633,49954166378,0,1783119635951970009,2500000,2500005,937112398.000000,1.000000,0.000000,3224.000000,1308517.000000,15199276.000000,28373687.000000
312915660,49954166378,0,1783119637196816835,2500000,2500001,935930087.000000,2.000000,0.000000,3224.000000,1328816.000000,15080876.000000,28377242.000000
314077745,49954166378,0,1783119638427944838,2500000,2500000,939482420.000000,5.000000,0.000000,3224.000000,1358640.000000,15283495.000000,28396704.000000
313651539,49954166378,0,1783119639646303859,2500000,2500002,938320362.000000,1.000000,0.000000,3224.000000,1346257.000000,15207452.000000,28390073.000000
351978966,49954166378,0,1783119640867060073,2500000,2500000,947059963.000000,731.000000,0.000000,3224.000000,1358620.000000,15718141.000000,28599560.000000
313715828,49954166378,0,1783119642115354259,2500000,2500000,938142729.000000,2.000000,0.000000,3224.000000,1375747.000000,15164819.000000,28380092.000000
310402130,49954166378,0,1783119643338698082,2500000,2500033,927880383.000000,4.000000,0.000000,3225.000000,1311053.000000,15106471.000000,29000257.000000
316993740,49954166378,0,1783119644561484914,2500000,2499998,947178579.000000,4.000000,0.000000,3224.000000,1490240.000000,15457435.000000,28412585.000000
316331894,49954166378,0,1783119645782545938,2500000,2500002,945695106.000000,2.000000,0.000000,3224.000000,1406797.000000,15498207.000000,28372383.000000
314808786,49954166378,0,1783119647004462483,2500000,2500000,941107741.000000,1.000000,0.000000,3224.000000,1498429.000000,15107393.000000,28400919.000000
316526294,49954166378,0,1783119648199257571,2500000,2499997,946204674.000000,2.000000,0.000000,3224.000000,1367569.000000,15581971.000000,28392524.000000
314954234,49954166378,0,1783119649230631192,2500000,2500001,941775223.000000,1.000000,0.000000,3224.000000,1480615.000000,15149784.000000,28389479.000000
316075062,49954166378,0,1783119650228045750,2500000,2500001,945053280.000000,1.000000,0.000000,3224.000000,1390610.000000,15511918.000000,28404964.000000
319467262,49954166378,0,1783119651241197180,2500000,2499998,954034817.000000,1.000000,0.000000,3224.000000,1528752.000000,15919318.000000,28434202.000000
311852697,49954166378,0,1783119652325492463,2500000,2500004,932893279.000000,3.000000,0.000000,3224.000000,1343988.000000,14848730.000000,28354689.000000
316077869,49954166378,0,1783119653482725181,2500000,2500000,941507029.000000,6.000000,0.000000,3225.000000,1515957.000000,15159657.000000,28449744.000000
312662664,49954166378,0,1783119654692657704,2500000,2500000,935620983.000000,3.000000,0.000000,3224.000000,1299740.000000,15108245.000000,28383218.000000
313458100,49954166378,0,1783119655898112251,2500000,2500004,937645128.000000,2.000000,0.000000,3224.000000,1374126.000000,15127958.000000,28378792.000000
312260142,49954166378,0,1783119657123151325,2500000,2499999,934398023.000000,1.000000,0.000000,3224.000000,1282721.000000,15073385.000000,28299945.000000
313477431,49954166378,0,1783119658360565603,2500000,2499997,937295368.000000,3.000000,0.000000,3224.000000,1397725.000000,15064436.000000,28377420.000000
312938270,49954166378,0,1783119659595416858,2500000,2499999,936171314.000000,2.000000,0.000000,3224.000000,1298766.000000,15167935.000000,28364308.000000
313855596,49954166378,0,1783119660802066062,2500000,2500002,938686191.000000,2.000000,0.000000,3224.000000,1357986.000000,15205432.000000,28371395.000000
313685678,49954166378,0,1783119661887952369,2500000,2499998,938395226.000000,2.000000,0.000000,3224.000000,1317837.000000,15272647.000000,28374603.000000
313214605,49954166378,0,1783119662928024170,2500000,2500000,936859712.000000,5.000000,0.000000,3224.000000,1351779.000000,15098683.000000,28379327.000000
325889647,49954166378,0,1783119663900525140,2500000,2499997,931792192.000000,733.000000,0.000000,3225.000000,1247767.000000,15434920.000000,29337927.000000
313312309,49954166378,0,1783119665068521011,2500000,2500000,937097729.000000,0.000000,0.000000,3224.000000,1388962.000000,15032825.000000,28367884.000000
315488955,49954166378,0,1783119666325707556,2500000,2499997,943278523.000000,4.000000,0.000000,3224.000000,1347191.000000,15498942.000000,28410768.000000
314057735,49954166378,0,1783119667544437243,2500000,2500001,939258836.000000,1.000000,0.000000,3224.000000,1437208.000000,15092224.000000,28381281.000000
314014889,49954166378,0,1783119668755888365,2500000,2500000,939184352.000000,2.000000,0.000000,3224.000000,1341272.000000,15284867.000000,28390701.000000
315901129,49954166378,0,1783119669956071645,2500000,2500001,944343577.000000,2.000000,0.000000,3224.000000,1412901.000000,15509571.000000,28417821.000000
314620131,49954166378,0,1783119671179807751,2500000,2499998,941170122.000000,2.000000,0.000000,3224.000000,1333507.000000,15360457.000000,28407048.000000
314322861,49954166378,0,1783119672398463485,2500000,2500000,939860447.000000,3.000000,0.000000,3224.000000,1452081.000000,15122616.000000,28399862.000000
316142183,49954166378,0,1783119673648942668,2500000,2499997,945217448.000000,1.000000,0.000000,3224.000000,1352302.000000,15590454.000000,28407510.000000
314199640,49954166378,0,1783119674900333443,2500000,2500001,939442355.000000,2.000000,0.000000,3224.000000,1430431.000000,15140080.000000,28375081.000000
312657257,49954166378,0,1783119676120843921,2500000,2500001,934231104.000000,5.000000,0.000000,3224.000000,1350813.000000,14928653.000000,28376309.000000
313328907,49954166378,0,1783119677346697093,2500000,2500001,937252832.000000,3.000000,0.000000,3224.000000,1423932.000000,14991460.000000,28386000.000000
312667974,49954166378,0,1783119678561478909,2500000,2500005,935670739.000000,3.000000,0.000000,3224.000000,1337549.000000,15054127.000000,28370557.000000
313025667,49954166378,0,1783119679773570661,2500000,2500001,936369639.000000,1.000000,0.000000,3224.000000,1427650.000000,14955449.000000,28374187.000000
312522507,49954166378,0,1783119680984479455,2500000,2500006,934885610.000000,2.000000,0.000000,3224.000000,1326262.000000,15036225.000000,28371320.000000
315301783,49954166378,0,1783119682213310131,2500000,2500000,942692810.000000,2.000000,0.000000,3224.000000,1446711.000000,15306940.000000,28385721.000000
314775551,49954166378,0,1783119683457284822,2500000,2500003,941459413.000000,3.000000,0.000000,3224.000000,1351107.000000,15401287.000000,28403855.000000
313626705,49954166378,0,1783119684685034825,2500000,2500006,937827313.000000,1.000000,0.000000,3224.000000,1429616.000000,15040388.000000,28370220.000000
313610529,49954166378,0,1783119685928547270,2500000,2500005,938410045.000000,1.000000,0.000000,3224.000000,1310074.000000,15254339.000000,28389782.000000
314099003,49954166378,0,1783119687154983049,2500000,2500001,939310585.000000,1.000000,0.000000,3224.000000,1392390.000000,15188071.000000,28382926.000000
314078260,49954166378,0,1783119688403129789,2500000,2500001,939166091.000000,4.000000,0.000000,3224.000000,1369407.000000,15189344.000000,28384487.000000
315183392,49954166378,0,1783119689642972071,2500000,2500000,942359427.000000,2.000000,0.000000,3224.000000,1406770.000000,15373251.000000,28390238.000000
311642281,49954166378,0,1783119690865465432,2500000,2499997,932422099.000000,2.000000,0.000000,3224.000000,1346022.000000,14835706.000000,28370449.000000
315402451,49954166378,0,1783119692088410684,2500000,2500001,943088728.000000,1.000000,0.000000,3224.000000,1433261.000000,15373222.000000,28403529.000000
312662669,49954166378,0,1783119693315148853,2500000,2500002,935433941.000000,2.000000,0.000000,3224.000000,1326507.000000,15053267.000000,28347792.000000
312309431,49954166378,0,1783119694542719002,2500000,2499997,932900278.000000,5.000000,0.000000,3225.000000,1380517.000000,15276441.000000,29048930.000000
311504949,49954166378,0,1783119695755423458,2500000,2500005,932711901.000000,2.000000,0.000000,3224.000000,1320693.000000,14912265.000000,28371336.000000
